Removed Pin From Net: NetName=GPIO0 Pin=ESP32-BOOT-2
Removed Pin From Net: NetName=GND Pin=ESP32-BOOT-4
Removed Pin From Net: NetName=GND Pin=ESP32_RESET-4
Removed Pin From Net: NetName=GND Pin=W5500_MODULE-1
Removed Pin From Net: NetName=GND Pin=W5500_MODULE-2
Removed Pin From Net: NetName=W5500-MOSI Pin=W5500_MODULE-3
Removed Pin From Net: NetName=W5500-SCK Pin=W5500_MODULE-4
Removed Pin From Net: NetName=W5500-CS Pin=W5500_MODULE-5
Removed Pin From Net: NetName=W5500-MISO Pin=W5500_MODULE-7
Removed Pin From Net: NetName=W5500-RST Pin=W5500_MODULE-8
Removed Pin From Net: NetName=+3V3 Pin=W5500_MODULE-10
Removed Pin From Net: NetName=+3V3 Pin=W5500_MODULE-11
Removed Pin From Net: NetName=GND Pin=W5500_MODULE-12
Removed Member From Class: ClassName=ESP32 Member=ESP32-BOOT
Removed Member From Class: ClassName=Ethernet Member=W5500_MODULE
Change Component Footprint: Designator=ESP32_RESET Old Footprint=TECO-FSM4JSMATR_V New Footprint=FP-B3U-1000P-MFG
Change Component Comment : Designator=ESP32_RESET Old Comment=FSM4JSMATR New Comment=B3U-1000P
Change Managed Component Library Link : Designator=ESP32_RESET Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=BA26366D-9194-49F2-B660-28CB77E1CD27 New ItemGUID=92731BA7-434B-4DC4-B9AA-673249F8C904 Old RevisionGUID=C546DB3F-7D21-4D2B-92CB-9983C49827D5 New RevisionGUID=3AEDDBD3-AB62-4FD4-95C0-04400CA26B40
Change component parameters: Designator = "ESP32_RESET" ("ESP32_RESET"); Footprint = "TECO-FSM4JSMATR_V"; UniqueID = "\FXAQDZSX" ("\FXAQDZSX")
Add component (AddParameter): Name = "Orientation"; Value = "Straight"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ratings"; Value = "Dust Proof"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Switch Function"; Value = "Off-Mom"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Switch Travel"; Value = "0.15mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Throw Configuration"; Value = "SPST"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating (DC)"; Value = "12V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Weight"; Value = "0.000776oz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "3mm"; VariantName = "[No Variations]"
Added Pin To Net: NetName=GND Pin=ESP32_BOOT-1
Added Pin To Net: NetName=GPIO0 Pin=ESP32_BOOT-2
Added Pin To Net: NetName=GND Pin=ESP32_RESET-1
Added Member To Class: ClassName=ESP32 Member=Component ESP32_BOOT B3U-1000P
